site_code,cluster_id,display_point.coordinates.latitude,main_address.structured_address.postal_code,display_point.source,main_address.structured_address.country_code,business_status.closed_date,hours,apple_categories.0,names.0.name,business_status.status,main_address.structured_address.state_province,main_address.structured_address.floor,phone_number.number,names.0.locale,main_address.structured_address.locality,main_address.structured_address.street_address.0,display_point.coordinates.longitude,names.0.name_preprocessed,name.set,pair_id,product,brand
3cb00cf6-bf35-4d58-adf1-c4a4c28deddd,27141,-6.73601929,59118.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-09:00,beauty_and_spa.beauty_service,Salon Rahayu,OPEN,Jawa Tengah,1.0,,en-ID,Pati,Jalan Dr. Susanto,111.0445426,salon rahayu,"{'a', ' ', 'o', 'h', 'n', 'l', 'y', 's', 'r', 'u'}",15746,,
2e5ec759-f4ba-41b0-9937-e3dcd4f9ddad,27189,-2.94650336,30128.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,Warung Makan Ibu Merry,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Sukamulya Raya,104.7445508,warung makan ibu merry,"{'a', ' ', 'w', 'g', 'n', 'b', 'k', 'e', 'y', 'i', 'r', 'm', 'u'}",15774,,
ea082451-a260-42ef-a859-e9e48f35b26c,27189,-2.94636123,30128.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,Warung Makan Ibun Merry,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Sukamulya Raya,104.7447785,warung makan ibun merry,"{'a', ' ', 'w', 'g', 'n', 'b', 'k', 'e', 'y', 'i', 'r', 'm', 'u'}",15775,,
2f5cbfb7-14f1-4dc8-9c18-4b328f0b1b1f,27277,-6.99637095,40396.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Melati,OPEN,Jawa Barat,1.0,,en-ID,Bandung Kabupaten,Jalan Raya Majalaya-Cicalengka,107.8197588,toko melati,"{' ', 'a', 'o', 't', 'l', 'k', 'e', 'i', 'm'}",15827,,
42947f26-9f1d-4c3b-9e08-09d57cb771d7,27277,-6.99639848,40396.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,TK Mlati,OPEN,Jawa Barat,,,en-ID,Bandung Kabupaten,Jalan Raya Cicalengka Majalaya,107.8197867,tk mlati,"{' ', 'a', 't', 'l', 'k', 'i', 'm'}",15827,,
300c69b6-de59-46b5-83f9-157acf5b5028,27332,-2.94529134,30128.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service.beauty_salon.hair_salon.mens_hair_salon.barber_shop,Barber Doel,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Lorong Indah Jaya,104.7562207,barber doel,"{'a', ' ', 'o', 'd', 'b', 'l', 'e', 'r'}",15853,,
8fdd08b0-203f-4129-970b-0fd3aa24fa00,27332,-2.94523785,30127.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service.beauty_salon.hair_salon.mens_hair_salon.barber_shop,8 Barberdoel,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Angkatan 66,104.7562448,8 barberdoel,"{'a', ' ', 'o', '8', 'd', 'b', 'l', 'e', 'r'}",15853,,
30e21e95-506b-4c5e-babd-90382420926a,27418,-6.8876432,40514.0,MANUALLY_PLACED,ID,,,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,Dapoer Qta,OPEN,Jawa Barat,1.0,,en-ID,Cimahi,Jalan Budi,107.5617379,dapoer qta,"{'a', ' ', 'q', 'o', 't', 'd', 'e', 'p', 'r'}",15906,,
65811bc3-659e-4f12-bb7f-4aac03c1a4c0,27418,-6.8879853,40514.0,MANUALLY_PLACED,ID,,,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,Dapoer Kita,OPEN,Jawa Barat,,,en-ID,Cimahi,Jalan Budi,107.5618707,dapoer kita,"{'a', ' ', 'o', 't', 'd', 'k', 'e', 'p', 'i', 'r'}",15906,,
32594a19-45f2-472d-8372-0185c56cdaf7,27546,-2.92035783,30164.0,MANUALLY_PLACED,ID,,Mo-Su 00:00-23:59,association_or_organization.religious_organization.mosque,Musholla Al-Ikhlas,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Residen Haji Najamuddin,104.7704096,musholla al ikhlas,"{'a', ' ', 'o', 'i', 'h', 'l', 'k', 's', 'm', 'u'}",15971,,
7712593b-3ae9-44a8-9a76-e2e041cbed2c,27546,-2.91958033,30164.0,MANUALLY_PLACED,ID,,,association_or_organization.religious_organization.mosque,Musollah Al Ikhlas,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Pangeran Ayin,104.7702438,musollah al ikhlas,"{'a', ' ', 'o', 'i', 'h', 'l', 'k', 's', 'm', 'u'}",15972,,
e944b147-cad1-4eaa-a608-44bc7e681c29,27566,-6.27278331,17520.0,MANUALLY_PLACED,ID,,,beauty_and_spa.beauty_service.beauty_salon.hair_salon.mens_hair_salon.barber_shop,Pangkas Rambut Sahabat,OPEN,Jawa Barat,1.0,,en-ID,Bekasi Kabupaten,Jalan Cibuntu Asem,107.0693218,pangkas rambut sahabat,"{'a', ' ', 'g', 'h', 'n', 't', 'b', 'k', 'p', 's', 'r', 'm', 'u'}",15981,,
